time,agg_demand,agg_supply,agg_actual_demand,historical_prices,cost_transaction,total_transaction_cost,total_expenditure_hourly,trading_volume,biomass_volume,nat_grid_volume,trading_volume_elect,biomass_volume_elect,nat_grid_volume_elect,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions,no_bids_market,no_asks_market,charge_history_agg,avg_expenditure_hourly,avg_transactions_hourly,avg_bids_agent,avg_asks_agent,avg_bids_day,avg_asks_day,avg_cost_day_agent,avg_nat_grid_purchases_day,nat_grid_purchases_day,trading_daily_volume,percentage_Market_Trades,black_Out_Instances
40,55065.61666666665,5421.3499999999985,49644.26666666665,0.044,0.05566666666666667,0.397,5.646999999880791,1.679,1.679,0,38457,38457,0,12,6,12,0,6,2,369816.36666666676,0.12548888887977228,,0.13333333333333333,0.044444444444444446,,,,,,,0,
41,63238.150000000016,7.299999999999999,63230.85000000001,0.052,0.055375,0.527,7.983999997377396,2.717,2.717,0,52054,52054,0,16,8,16,0,8,2,374305.45000000007,0.1774222221574746,,0.17777777777777778,0.044444444444444446,,,,,,,0,
42,68231.29999999999,1.3666666666666667,68229.93333333332,0.055,0.0551,0.656,10.00000000372529,3.435,3.435,0,62858,62858,0,20,10,20,0,10,2,380920.5333333334,0.22222222230629995,,0.2222222222222222,0.044444444444444446,,,,,,,0,
43,70987.40000000001,1.4,70986.00000000001,0.062,0.0551,0.656,10.714999999850988,4.152,4.152,0,67221,67221,0,20,10,20,0,10,2,400198.30000000016,0.23811111110262573,,0.2222222222222222,0.044444444444444446,,,,,,,0,
44,60459.033333333326,3.2166666666666663,60455.81666666666,0.042,0.05566666666666667,0.397,5.562999997287989,1.595,1.595,0,38400,38400,0,12,6,12,0,6,2,386836.93333333335,0.12362222216324881,,0.13333333333333333,0.044444444444444446,,,,,,,0,
45,51322.30000000002,1.8666666666666667,51320.43333333335,0.053,0.05542857142857143,0.461,7.160000000149012,2.543,2.543,0,48310,48310,0,14,7,14,0,7,2,393791.01666666684,0.15911111113382503,,0.15555555555555556,0.044444444444444446,,,,,,,0,
46,43116.549999999996,8.933333333333334,43107.61666666666,0.048,0.0558,0.332,4.675000000745058,1.355,1.355,0,28399,28399,0,10,5,10,0,5,2,386080.8333333336,0.10388888890156522,,0.1111111111111111,0.044444444444444446,,,,,,,0,
47,38040.36666666666,4.516666666666667,38035.84999999999,0.037,0.058,0.137,1.8499999977648258,0.478,0.478,0,12790,12790,0,4,2,4,0,2,2,365383.15000000014,0.04111111105885357,,0.044444444444444446,0.044444444444444446,,,,,,,0,
48,30417.766666666666,1.2,30416.566666666666,0.056,0.0558,0.332,4.978000000119209,1.66,1.66,0,29723,29723,0,10,5,10,0,5,2,370338.35000000015,0.11062222224427387,6.133333333333333,0.1111111111111111,0.044444444444444446,2.911111111111111,1.2444444444444445,2.8185777778271586,0,0,39.998999999999995,0,
49,28524.26666666666,1.5833333333333333,28522.683333333327,0.037,0.0558,0.332,3.7429999969899654,0.423,0.423,0,11557,11557,0,10,5,10,0,5,2,355497.43333333347,0.0831777777057141,,0.1111111111111111,0.044444444444444446,,,,,,,0,
50,27619.63333333332,0,27619.63333333332,0.034,0.058,0.137,1.5549999997019768,0.181,0.181,0,5402,5402,0,4,2,4,0,2,2,335884.10000000015,0.03455555555410683,,0.044444444444444446,0.044444444444444446,,,,,,,0,
51,27575.700000000004,0,27575.700000000004,0.055,0.05625,0.267,3.580000001937151,0.91,0.91,0,16514,16514,0,8,4,8,0,4,2,332565.76666666684,0.07955555559601635,,0.08888888888888889,0.044444444444444446,,,,,,,0,
52,28310.199999999997,0,28310.199999999997,0.019,0.058,0.137,1.4450000002980232,0.072,0.072,0,3706,3706,0,4,2,4,0,2,2,313796.80000000016,0.03211111109703779,,0.044444444444444446,0.044444444444444446,,,,,,,0,
