time,agg_demand,agg_supply,agg_actual_demand,historical_prices,cost_transaction,trading_volume,nat_grid_volume,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions,no_bids_market,no_asks_market,charge_history_agg,hourly_expenditure,avg_expenditure_hourly,avg_transactions_day,avg_bids_agent,avg_asks_agent,avg_bids_day,avg_asks_day,avg_cost_day_agent,avg_nat_grid_purchases_day,trading_daily_volume,percentage_Market_Trades,black_Out_Instances
17,115.98,0.29600000000000004,115.684,0,0.0545609756097561,0.017,4.674,58,1,42,16,41,0,254552,0.24576543224975467,3749908.736580245,0.7160493827160493,0.5061728395061729,0,,,,,,6.25,0
18,130.09499999999994,1.0509999999999997,129.04399999999995,0,0.05457142857142857,0.038,8.058,65,1,43,22,42,0,232237,0.35466666566208005,3749908.3819135795,0.8024691358024691,0.5185185185185185,0,,,,,,4.545454545454546,0
19,113.37600000000003,1.682,111.69400000000003,0,0.05454347826086956,0.153,5.377,72,2,48,24,46,0,240390,0.410938270855695,3749907.9709753087,0.8888888888888888,0.5679012345679012,0,,,,,,8.333333333333332,0
20,101.705,1.0459999999999998,100.65899999999999,0,0.05453061224489796,0,5.445,75,0,49,26,49,0,207702,0.40733333537355065,3749907.5636419733,0.9259259259259259,0.6049382716049383,0,,,,,,0,0
21,99.88100000000001,1.5579999999999996,98.32300000000002,0,0.05454166666666666,0.02,6.911,78,1,49,29,48,0,207694,0.4308024672791362,3749907.132839506,0.9629629629629629,0.5925925925925926,0,,,,,,3.4482758620689653,0
22,91.745,1.6529999999999998,90.092,0,0.054575,0,5.894,75,0,40,35,40,0,212276,0.4460740736685693,3749906.6867654324,0.9259259259259259,0.49382716049382713,0,,,,,,0,0
23,81.274,0.973,80.301,0,0.0545609756097561,0.062,5.791,78,2,43,35,41,0,205843,0.38770370185375214,3749906.2990617305,0.9629629629629629,0.5061728395061729,0,,,,,,5.714285714285714,0
24,62.482,0.213,62.269,0,0.0546,0,4.253,76,0,35,41,35,0,210210,0.39306173101067543,3749905.9059999995,0.9382716049382716,0.43209876543209874,0,7.111111111111111,0.16049382716049382,4.6983333309181035,3.506172839506173,0.48700000000000004,0,0
25,53.49499999999999,0.004,53.49099999999999,0,0.05454166666666666,0,2.888,78,0,48,30,48,0,216181,0.3415802465751767,3749905.564419753,0.9629629629629629,0.5925925925925926,0,,,,,,0,0
26,63.61000000000002,0.004,63.60600000000002,0,0.05461764705882353,0,5.637,78,0,34,44,34,0,206577,0.3977654315531254,3749905.1666543214,0.9629629629629629,0.41975308641975306,0,,,,,,0,0
