time,agg_demand,agg_supply,agg_actual_demand,historical_prices,cost_transaction,trading_volume,biomass_volume,nat_grid_volume,trading_volume_elect,biomass_volume_elect,nat_grid_volume_elect,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions,no_bids_market,no_asks_market,charge_history_agg,avg_expenditure_hourly,avg_transactions_hourly,avg_bids_agent,avg_asks_agent,avg_bids_day,avg_asks_day,avg_cost_day_agent,avg_nat_grid_purchases_day,nat_grid_purchases_day,trading_daily_volume,percentage_Market_Trades,black_Out_Instances
32,19740.216666666667,1255.4999999999998,18484.716666666667,0.043,0.057,0.852,9.456,0,,19858,0,6,3,6,0,3,2,157489.65000000002,0.030949999927543104,,0.15,0.1,,,,,,,0,0
33,20199.88333333333,3875.333333333333,16324.55,0.044,0.0558,1.229,15.096,0,,27939,0,10,5,10,0,5,2,165540.73333333337,0.14364999998360872,,0.25,0.1,,,,,,,0,0
34,23955.450000000008,9113.916666666668,14841.53333333334,0,0.057999999999999996,0,0,0,,0,0,2,0,2,0,1,3,121545.95000000006,0.22739999991608784,,0.05,0.15,,,,,,,0,0
35,22165.8,10658.15,11507.65,0.036,0.05625,0.737,8.655,0,,20288,0,8,4,8,0,3,3,145020.65000000002,0.0582000000285916,,0.15,0.15,,,,,,,0,0
36,18300.733333333337,8512.733333333334,9788.000000000004,0.027,0.05666666666666667,0.389,4.115,0,,14096,0,6,3,6,0,2,3,171010.06666666668,0.170200000051409,,0.1,0.15,,,,,,,0,0
37,20310.733333333326,9050.883333333333,11259.849999999993,0,0.054,0,0,0,,0,0,1,0,1,0,0,3,141629.93333333338,0.12029999995138496,,0,0.15,,,,,,,0,0
38,21178.266666666666,15284.699999999999,5893.5666666666675,0,0.057999999999999996,0,0,0,,0,0,2,0,2,0,1,3,113275.48333333337,0.027200000011362135,,0.05,0.15,,,,,,,0,0
39,23588.45,9814.833333333332,13773.616666666669,0.021,0.05666666666666667,0.279,3.303,0,,13285,0,6,3,6,0,2,3,157259.50000000003,0.05819999997038394,,0.1,0.15,,,,,,,0,0
40,24069.366666666665,5728.066666666667,18341.3,0.042,0.05566666666666667,1.64,17.687,0,,39438,0,12,6,12,0,6,2,178445.59999999998,0.11485000001266599,,0.3,0.1,,,,,,,0,0
41,28184.68333333333,4136.7,24047.98333333333,0.016,0.058,0.212,3.183,0,,13276,0,4,2,4,0,2,2,171397.8166666667,0.2805000000516884,,0.1,0.1,,,,,,,0,0
42,35566.21666666667,4506.666666666667,31059.55,0.02,0.058,0.288,4.161,0,,14727,0,4,2,4,0,2,2,155558.56666666668,0.07925000006798655,,0.1,0.1,,,,,,,0,0
43,32737.833333333332,4545.5,28192.333333333332,0.043,0.05566666666666667,1.905,22.693,0,,43814,0,12,6,12,0,6,2,184498.40000000005,0.08305000001564622,,0.3,0.1,,,,,,,0,0
44,29340.583333333336,4374.333333333333,24966.250000000004,0.035,0.058,0.487,6.669,0,,14078,0,4,2,4,0,2,2,173349.80000000002,0.29369999998016283,,0.1,0.1,,,,,,,0,0
45,23051.766666666666,3875.233333333333,19176.533333333333,0.019,0.058,0.233,3.275,0,,12167,0,4,2,4,0,2,2,167572.15000000005,0.092899999988731,,0.1,0.1,,,,,,,0,0
46,18576.833333333332,3026.9,15549.933333333332,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,151633.48333333337,0.08025000005727634,,0.05,0.1,,,,,,,0,0
47,14893.283333333333,1641.7166666666667,13251.566666666666,0.041,0.058,0.386,5.661,0,,9413,0,4,2,4,0,2,2,147783.3833333334,0.030949999927543104,,0.1,0.1,,,,,,,0,0
48,13622.366666666667,352.4,13269.966666666667,0.028,0.058,0.361,3.026,0,,13073,0,4,2,4,0,2,2,158335.58333333337,0.08790000004228204,6.05,0.1,0.1,2.9,2.7,2.6417499999515712,0,0,12.236,0,0
49,12668.5,1.5833333333333333,12666.916666666666,0.034,0.058,0.252,3.797,0,,7307,0,4,2,4,0,2,2,153849.51666666672,0.08669999992707744,,0.1,0.1,,,,,,,0,0
50,12119.45,0,12119.45,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,131024.15000000005,0.08120000001508743,,0.05,0.1,,,,,,,0,0
51,11882.333333333336,0,11882.333333333336,0.019,0.057,0.109,2.9,0,,5788,0,6,3,6,0,3,2,112885.03333333338,0.030950000043958426,,0.15,0.1,,,,,,,0,0
52,13872.916666666664,0,13872.916666666664,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,86497.80000000006,0.1065499999676831,,0,0.1,,,,,,,0,0
53,13326.583333333332,0.21666666666666667,13326.366666666665,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,74131.50000000003,0,,0.05,0.1,,,,,,,0,0
54,14122.649999999998,47.81666666666666,14074.83333333333,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,57576.1666666667,0.030950000043958426,,0.05,0.1,,,,,,,0,0
55,16447.35,1273.8,15173.55,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,42336.816666666695,0.030949999985750765,,0.05,0.1,,,,,,,0,0
56,16844.849999999995,14241.95,2602.899999999994,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,43754.45000000002,0.030950000043958426,,0,0.1,,,,,,,0,0
57,17952.43333333333,29879.45,-11927.01666666667,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,54889.533333333384,0,,0,0.1,,,,,,,0,0
58,18852.09285714286,47776.50476190477,-28924.41190476191,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,58279.34523809529,0,,0,0.1,,,,,,,0,0
59,18654.266666666666,48029.066666666666,-29374.8,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,6934.783333333337,0,,0,0.1,,,,,,,0,0
60,21233.816666666666,67043.25,-45809.433333333334,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,8241.35000000001,0,,0,0.1,,,,,,,0,0
61,21708.966666666667,53509.65,-31800.683333333334,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,5624.966666666673,0,,0,0.1,,,,,,,0,0
62,21899.800000000003,68246.78333333333,-46346.98333333332,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,6678.916666666672,0,,0,0.1,,,,,,,0,0
63,20145.23333333333,53819.39166666668,-33674.15833333335,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,11794.483333333332,0,,0,0.1,,,,,,,0,0
64,22520.549999999996,28784.016666666674,-6263.466666666678,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,46088.69523809527,0,,0.05,0.1,,,,,,,0,0
65,23650.56666666667,6442.533333333333,17208.033333333336,0.048,0.057,0.932,11.71,0.862,,19418,6000,7,3,6,1,3,2,130653.4452380953,0.030949999985750765,,0.15,0.1,,,,,,,33.33333333333333,0
66,25359.116666666665,4405.133333333332,20953.983333333334,0.05,0.05522222222222222,2.957,32.907,0,,59040,0,18,9,18,0,9,2,179542.761904762,0.19599999993806705,,0.45,0.1,,,,,,,0,0
