time,agg_demand,agg_supply,agg_actual_demand,historical_prices,cost_transaction,trading_volume,biomass_volume,nat_grid_volume,trading_volume_elect,biomass_volume_elect,nat_grid_volume_elect,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions,no_bids_market,no_asks_market,charge_history_agg,avg_expenditure_hourly,avg_transactions_hourly,avg_bids_agent,avg_asks_agent,avg_bids_day,avg_asks_day,avg_cost_day_agent,avg_nat_grid_purchases_day,nat_grid_purchases_day,trading_daily_volume,percentage_Market_Trades,black_Out_Instances
0,68636.79583333335,324.74999999999994,68312.04583333335,0,NaN,0,0,0,,0,0,0,0,0,0,0,4,0,NaN,,0,0.04938271604938271,,,,,,,0,0
1,65344.14999999998,4.75,65339.39999999998,0,NaN,0,0,0,,0,0,0,0,0,0,0,2,0,0,,0,0.024691358024691357,,,,,,,0,0
2,57734.88333333332,4.533333333333333,57730.349999999984,0,NaN,0,0,0.862,,0,NaN,1,0,0,1,0,2,0,0,,0,0.024691358024691357,,,,,,,0,0
3,57926.299999999996,3.9833333333333325,57922.316666666666,0,0.062,0,0,0,,0,0,1,0,1,0,1,2,0,0.011938271636608988,,0.012345679012345678,0.024691358024691357,,,,,,,0,0
4,63410.202083333315,4.416666666666667,63405.78541666665,0.109,0.05566666666666667,14.116,0.217,0.862,,0,NaN,9,2,8,1,6,2,0,0.007641975302249193,,0.07407407407407407,0.024691358024691357,,,,,,,50,0
5,57282.816666666644,4.333333333333333,57278.48333333331,0.107,0.05566666666666667,13.769,0.213,5.173,,0,NaN,14,2,8,6,6,2,0,0.23002469132188708,,0.07407407407407407,0.024691358024691357,,,,,,,300,0
6,58536.88333333334,20.08333333333333,58516.8,0.101,0.05566666666666667,12.168,0.201,5.173,,0,NaN,14,2,8,6,6,2,0,0.2854320987826213,,0.07407407407407407,0.024691358024691357,,,,,,,300,0
7,64405.16666666664,831.3166666666665,63573.84999999998,0.11,0.055375,13.7,0.219,5.173,,0,NaN,16,2,10,6,8,2,0,0.2656913580140099,,0.09876543209876543,0.024691358024691357,,,,,,,300,0
8,74239.45000000003,20481.43333333333,53758.01666666669,0.096,0.0558,13.293,0.191,6.898,,0,NaN,16,3,8,8,4,3,0,0.29801234568003565,,0.04938271604938271,0.037037037037037035,,,,,,,266.66666666666663,0
9,79608.1833333333,49823.54999999997,29784.63333333334,0.113,0.05500000000000001,17.915,0.226,2.587,,0,NaN,23,7,20,3,8,7,0,0.2979012345895171,,0.09876543209876543,0.08641975308641975,,,,,,,42.857142857142854,0
