time,agg_demand,agg_supply,agg_actual_demand,historical_prices,cost_transaction,trading_volume,nat_grid_volume,biomass_volume,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions,no_bids_market,no_asks_market,charge_history_agg,avg_expenditure_hourly,avg_transactions_hourly,avg_bids_agent,avg_asks_agent,avg_bids_day,avg_asks_day,avg_cost_day_agent,avg_nat_grid_purchases_day,nat_grid_purchases_day,trading_daily_volume,percentage_Market_Trades,black_Out_Instances
17,115975.16666666669,295.86666666666656,115679.30000000002,0.06,0.054875,6.088,0,0,32,16,32,0,16,2,699351.5941287881,0.1275555551983416,,0.19753086419753085,0.024691358024691357,,,,,,,0,0
18,130096.70000000001,1051.1666666666667,129045.53333333334,0.072,0.05469565217391304,11.184,0,0,47,24,47,0,23,2,688689.427462121,0.20425925916060805,,0.2839506172839506,0.024691358024691357,,,,,,,0,0
19,113374.85000000002,1681.5500000000002,111693.30000000002,0.063,0.05486666666666666,5.776,0.862,0,31,15,30,1,15,2,693677.2274621213,0.3245802465826273,,0.18518518518518517,0.024691358024691357,,,,,,,6.666666666666667,0
20,101703.9833333333,1045.4,100658.5833333333,0.043,0.05542857142857143,1.788,0,0,14,7,14,0,7,2,683704.2607954547,0.20435802405700088,,0.08641975308641975,0.024691358024691357,,,,,,,0,0
21,99880.64999999998,1556.7500000000002,98323.89999999998,0.055,0.0551,3.414,0.862,0,21,10,20,1,10,2,634263.894128788,0.07909876480698586,,0.12345679012345678,0.024691358024691357,,,,,,,10,0
22,91747.93333333332,1652.3666666666668,90095.56666666665,0.057,0.055090909090909086,4.099,0,0,22,11,22,0,11,2,641559.8441287881,0.13508642045781016,,0.13580246913580246,0.024691358024691357,,,,,,,0,0
23,81270.95,973.7999999999998,80297.15,0.054,0.055375,2.741,0.862,0,17,8,16,1,8,2,659379.3607954547,0.13964197412133217,,0.09876543209876543,0.024691358024691357,,,,,,,12.5,0
24,62478.91666666665,213.6166666666666,62265.29999999998,0.055,0.055375,2.673,0,0,16,8,16,0,8,2,673801.7774621213,0.11080247024074197,4.802469135802469,0.09876543209876543,0.024691358024691357,2.049382716049383,0.9135802469135802,2.206074070651084,0.06172839506172839,0,57.24300000000001,0,0
25,53496.83333333334,4,53492.83333333334,0.069,0.0551,4.319,0,0,21,11,21,0,10,2,635554.5607954549,0.0980123458430171,,0.12345679012345678,0.024691358024691357,,,,,,,0,0
26,63606.76666666664,4,63602.76666666664,0.051,0.0558,1.513,0,0,10,5,10,0,5,2,648254.8107954548,0.13565432094037533,,0.06172839506172839,0.024691358024691357,,,,,,,0,0
27,62922.99999999998,4.866666666666666,62918.13333333331,0.064,0.055,4.414,0,0,25,13,25,0,12,2,649315.9607954547,0.059666665736585855,,0.14814814814814814,0.024691358024691357,,,,,,,0,0
28,61461.03333333331,4.433333333333333,61456.59999999998,0.045,0.0558,1.453,0,0,10,5,10,0,5,2,665766.9441287882,0.15285185258835554,,0.06172839506172839,0.024691358024691357,,,,,,,0,0
29,57170.866666666676,4.683333333333333,57166.18333333334,0.049,0.055375,1.556,0,0,16,8,16,0,8,2,648325.2607954547,0.058901234064251184,,0.09876543209876543,0.024691358024691357,,,,,,,0,0
30,56852.53333333334,8.666666666666668,56843.866666666676,0.056,0.05542857142857143,1.696,0,0,14,7,14,0,7,2,628543.0441287879,0.08422222314402461,,0.08641975308641975,0.024691358024691357,,,,,,,0,0
31,63897.63333333333,166.06666666666663,63731.566666666666,0.066,0.05492857142857143,4.438,0,0,29,15,29,0,14,2,632626.5441287879,0.07793827215209603,,0.1728395061728395,0.024691358024691357,,,,,,,0,0
32,78371.03333333334,4629.633333333332,73741.40000000001,0.043,0.05522222222222222,1.835,0,0,18,9,18,0,9,2,638526.1274621214,0.16916049318388104,,0.1111111111111111,0.024691358024691357,,,,,,,0,0
33,80910.50000000006,14939.93333333333,65970.56666666672,0.061,0.054875,4.679,0,0,32,16,32,0,16,2,665175.8441287882,0.09567901212722063,,0.19753086419753085,0.024691358024691357,,,,,,,0,0
34,83378.28333333337,35747.56666666666,47630.71666666671,0.057,0.055090909090909086,3.189,0,0,22,11,22,0,9,4,689293.8441287881,0.18687654379755259,,0.1111111111111111,0.04938271604938271,,,,,,,0,0
35,91185.46666666669,42576.05,48609.416666666686,0.039,0.05525000000000001,1.234,0,0,16,8,16,0,5,5,704795.7607954545,0.12817283999174833,,0.06172839506172839,0.06172839506172839,,,,,,,0,0
36,88696.85,33485.549999999996,55211.30000000001,0.056,0.05522222222222222,2.559,0,0,18,9,18,0,7,4,677879.7941287878,0.08001234568655491,,0.08641975308641975,0.04938271604938271,,,,,,,0,0
37,84877.98333333328,34737.916666666664,50140.066666666615,0.055,0.0555,1.838,0,0,12,6,12,0,5,3,642652.2441287882,0.1044567902572453,,0.06172839506172839,0.037037037037037035,,,,,,,0,0
38,82625.21666666669,56602.5,26022.71666666669,0.041,0.05566666666666667,0.544,0,0,12,6,12,0,2,6,607051.4607954546,0.07154321018606424,,0.024691358024691357,0.07407407407407407,,,,,,,0,0
39,93307.73333333331,32636.549999999996,60671.18333333331,0.042,0.05566666666666667,1.623,0,0,12,6,12,0,6,2,628294.8107954544,0.0553950616158545,,0.07407407407407407,0.024691358024691357,,,,,,,0,0
40,99103.79999999999,12988.83333333333,86114.96666666666,0.066,0.05482352941176471,6.883,0,0,35,18,35,0,17,2,619958.0441287882,0.06902469135820866,,0.20987654320987653,0.024691358024691357,,,,,,,0,0
41,118192.83333333328,4157.8,114035.03333333328,0.065,0.05478947368421052,7.671,0,0,39,20,39,0,19,2,575658.0000000002,0.22339506214484572,,0.2345679012345679,0.024691358024691357,,,,,,,0,0
42,123664.55,4512.633333333334,119151.91666666667,0.054,0.05492857142857143,4.347,0,0,28,14,28,0,14,2,546591.9333333336,0.249111111741513,,0.1728395061728395,0.024691358024691357,,,,,,,0,0
43,108926.31666666664,4551.25,104375.06666666664,0.056,0.055,4.739,0,0,26,13,26,0,13,2,462964.90000000014,0.16675308579578996,,0.16049382716049382,0.024691358024691357,,,,,,,0,0
44,100650.93333333333,4379.933333333333,96271,0.056,0.055090909090909086,4.233,0.862,0,23,11,22,1,11,2,396072.3166666669,0.16354320896789432,,0.13580246913580246,0.024691358024691357,,,,,,,9.090909090909092,0
45,90043.0666666667,3881.233333333333,86161.83333333336,0.061,0.055090909090909086,4.343,0,0,22,11,22,0,11,2,331602.9500000001,0.15324691263958812,,0.13580246913580246,0.024691358024691357,,,,,,,0,0
46,77629.61666666667,3030.9,74598.71666666667,0.036,0.05566666666666667,1.266,0,0,12,6,12,0,6,2,322201.1500000001,0.1426543202251196,,0.07407407407407407,0.024691358024691357,,,,,,,0,0
47,63860.81666666667,1645.7166666666667,62215.100000000006,0.046,0.05566666666666667,1.539,0,0,12,6,12,0,6,2,242231.65000000008,0.06464197533205152,,0.07407407407407407,0.024691358024691357,,,,,,,0,0
