localminute,use,gen,grid,Month,Day,Hour,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Temperature,Solar Zenith Angle,Precipitable Water
2016-01-01 00:00:00-06,1.8277333333333332,0.0,1.8262,1,1,0,0,0,0,0,0,0,7,100.56,2.021
2016-01-01 01:00:00-06,1.5788333333333333,0.0,1.5776,1,1,1,0,0,0,0,0,0,6,112.9,2.049
2016-01-01 02:00:00-06,1.1403333333333332,0.0,1.13955,1,1,2,0,0,0,0,0,0,6,125.59,2.037
2016-01-01 03:00:00-06,1.8570166666666668,0.0,1.8552333333333333,1,1,3,0,0,0,0,0,0,6,138.48,2.021
2016-01-01 04:00:00-06,1.8131666666666668,0.0,1.8116666666666668,1,1,4,0,0,0,0,0,0,6,151.39,2.027
2016-01-01 05:00:00-06,2.1618666666666666,0.0003333333333333333,2.1597,1,1,5,0,0,0,0,0,0,6,163.89,2.059
2016-01-01 06:00:00-06,1.85665,0.0,1.85505,1,1,6,0,0,0,0,0,0,6,172.6,2.103
2016-01-01 07:00:00-06,2.068766666666667,0.0023666666666666662,2.0637833333333333,1,1,7,0,0,0,0,0,0,6,165.58,2.154
2016-01-01 08:00:00-06,2.0393166666666667,0.2861666666666666,1.75325,1,1,8,0,0,0,0,0,0,5,153.23,2.212
2016-01-01 09:00:00-06,2.342483333333333,0.7459833333333331,1.5963833333333333,1,1,9,0,0,0,0,0,0,5,140.34,2.258
2016-01-01 10:00:00-06,2.6236333333333333,0.9292166666666664,1.6943833333333331,1,1,10,0,0,0,0,0,0,5,127.44,2.285
2016-01-01 11:00:00-06,1.574633333333333,2.0015,-0.4268,1,1,11,0,0,0,0,0,0,4,114.71,2.302
2016-01-01 12:00:00-06,1.8336,1.3342666666666667,0.4992666666666666,1,1,12,0,0,0,0,0,0,4,102.3,2.32
2016-01-01 13:00:00-06,3.47845,1.0558,2.4225833333333333,1,1,13,0,0,0,0,0,0,4,90.4,2.339
2016-01-01 14:00:00-06,1.1676166666666667,0.8729,0.2947666666666666,1,1,14,53,0,53,57,453,141,4,79.28,2.343
2016-01-01 15:00:00-06,1.5705,0.2779333333333333,1.2925,1,1,15,120,0,120,83,670,319,4,69.34,2.3280000000000003
2016-01-01 16:00:00-06,1.7484,0.09338333333333332,1.6549833333333333,1,1,16,209,70,243,95,777,470,5,61.17,2.305
2016-01-01 17:00:00-06,3.144,0.0011833333333333331,3.130933333333333,1,1,17,237,360,441,99,833,570,6,55.57,2.285
2016-01-01 18:00:00-06,5.33965,0.0072166666666666655,5.33235,1,1,18,228,21,241,101,851,609,6,53.38,2.275
2016-01-01 19:00:00-06,2.048,0.0006666666666666666,2.04665,1,1,19,171,0,171,98,842,581,6,54.99,2.271
2016-01-01 20:00:00-06,2.072916666666667,0.0011333333333333332,2.071533333333333,1,1,20,199,31,214,92,800,491,6,60.12000000000001,2.266
2016-01-01 21:00:00-06,2.012583333333333,0.00055,2.011216666666667,1,1,21,20,0,20,80,713,348,6,67.95,2.261
2016-01-01 22:00:00-06,1.9925333333333333,0.0001,1.9906833333333331,1,1,22,9,0,9,58,532,172,5,77.66,2.259
2016-01-01 23:00:00-06,2.629366666666667,0.00125,2.62695,1,1,23,0,0,0,12,87,14,4,88.63,2.265
2016-01-02 00:00:00-06,2.0183833333333334,0.0002,2.016383333333333,1,2,0,0,0,0,0,0,0,4,100.43,2.273
2016-01-02 01:00:00-06,2.038,0.0,2.036233333333333,1,2,1,0,0,0,0,0,0,4,112.77,2.282
2016-01-02 02:00:00-06,1.7411666666666668,0.0,1.7397,1,2,2,0,0,0,0,0,0,4,125.46,2.294
2016-01-02 03:00:00-06,2.4155333333333333,0.0008666666666666666,2.412983333333333,1,2,3,0,0,0,0,0,0,4,138.35,2.306
2016-01-02 04:00:00-06,2.07425,0.0002,2.0722666666666667,1,2,4,0,0,0,0,0,0,4,151.26,2.311
2016-01-02 05:00:00-06,2.2115666666666667,0.0004666666666666666,2.209516666666667,1,2,5,0,0,0,0,0,0,4,163.76,2.2960000000000003
