localminute,use,gen,grid
2017-08-31 19:00:00-05,1.1869833333333333,0.13866666666666666,1.0483833333333332
2017-08-31 20:00:00-05,1.208783333333333,0.0,1.208783333333333
2017-08-31 21:00:00-05,1.0193333333333332,0.0,1.0193333333333332
2017-08-31 22:00:00-05,0.9503,0.0,0.9503
2017-08-31 23:00:00-05,0.7614666666666666,0.0,0.7614666666666666
2017-09-01 00:00:00-05,0.8107833333333331,0.0,0.8107833333333331
2017-09-01 01:00:00-05,0.6671166666666666,0.0,0.6671166666666666
2017-09-01 02:00:00-05,0.6609166666666666,0.0,0.6609166666666666
2017-09-01 03:00:00-05,0.5629166666666666,0.0,0.5629166666666666
2017-09-01 04:00:00-05,0.5847333333333332,0.0,0.5847333333333332
2017-09-01 05:00:00-05,0.5073,0.0,0.5073
2017-09-01 06:00:00-05,0.4609333333333333,0.0,0.4609333333333333
2017-09-01 07:00:00-05,0.48165,0.0824,0.39936666666666654
2017-09-01 08:00:00-05,0.5095833333333332,0.4735333333333332,0.03605
2017-09-01 09:00:00-05,0.5092166666666667,1.3957333333333333,-0.8865666666666666
2017-09-01 10:00:00-05,0.5038666666666666,2.2018666666666666,-1.69795
2017-09-01 11:00:00-05,0.8126833333333331,3.01605,-2.2033666666666667
2017-09-01 12:00:00-05,0.9478666666666664,3.655233333333333,-2.70725
2017-09-01 13:00:00-05,1.1928833333333333,3.7016,-2.508783333333333
2017-09-01 14:00:00-05,1.2409,2.927083333333333,-1.6862666666666668
2017-09-01 15:00:00-05,1.276333333333333,1.5038333333333331,-0.2274
2017-09-01 16:00:00-05,1.6387833333333333,3.0820833333333333,-1.4433833333333332
2017-09-01 17:00:00-05,1.35425,2.001466666666667,-0.6472
2017-09-01 18:00:00-05,1.4127333333333332,1.1131,0.2997
2017-09-01 19:00:00-05,1.1931333333333332,0.13065,1.0624333333333331
2017-09-01 20:00:00-05,1.2473833333333333,0.0,1.2473833333333333
2017-09-01 21:00:00-05,1.0600333333333332,0.0,1.0600333333333332
2017-09-01 22:00:00-05,0.9280166666666664,0.0,0.9280166666666664
2017-09-01 23:00:00-05,0.81035,0.0,0.81035
2017-09-02 00:00:00-05,0.7358666666666664,0.0,0.7358666666666664
2017-09-02 01:00:00-05,0.68655,0.0,0.68655
2017-09-02 02:00:00-05,0.6636833333333332,0.0,0.6636833333333332
2017-09-02 03:00:00-05,0.6117833333333332,0.0,0.6117833333333332
2017-09-02 04:00:00-05,0.5478,0.0,0.5478
2017-09-02 05:00:00-05,0.4907166666666666,0.0,0.4907166666666666
2017-09-02 06:00:00-05,0.4845166666666666,0.0,0.4845166666666666
2017-09-02 07:00:00-05,0.4790666666666666,0.08165,0.3973333333333333
2017-09-02 08:00:00-05,0.48705,0.45745,0.02963333333333333
2017-09-02 09:00:00-05,0.4788166666666666,1.3913833333333332,-0.9125666666666666
2017-09-02 10:00:00-05,0.4962833333333332,2.1886666666666668,-1.6924
2017-09-02 11:00:00-05,0.84055,3.0666,-2.2261333333333333
