localminute,use,gen,grid,Month,Day,Hour,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Temperature,Solar Zenith Angle,Precipitable Water
2016-06-30 19:00:00-05,2.1858833333333334,0.5367833333333332,1.6490166666666668,1,1,0,0,0,0,0,0,0,7,100.56,2.021
2016-06-30 20:00:00-05,1.88785,0.010333333333333332,1.8649,1,1,1,0,0,0,0,0,0,6,112.9,2.049
2016-06-30 21:00:00-05,1.3407833333333332,0.0,1.3407833333333332,1,1,2,0,0,0,0,0,0,6,125.59,2.037
2016-06-30 22:00:00-05,1.3689,0.0,1.3689,1,1,3,0,0,0,0,0,0,6,138.48,2.021
2016-06-30 23:00:00-05,1.8540833333333333,0.0,1.8540833333333333,1,1,4,0,0,0,0,0,0,6,151.39,2.027
2016-07-01 00:00:00-05,1.0604833333333332,0.0,1.0604833333333332,1,1,5,0,0,0,0,0,0,6,163.89,2.059
2016-07-01 01:00:00-05,1.11625,0.0,1.11625,1,1,6,0,0,0,0,0,0,6,172.6,2.103
2016-07-01 02:00:00-05,1.0901333333333332,0.0,1.0901333333333332,1,1,7,0,0,0,0,0,0,6,165.58,2.154
2016-07-01 03:00:00-05,1.13385,0.0,1.13385,1,1,8,0,0,0,0,0,0,5,153.23,2.212
2016-07-01 04:00:00-05,0.4228,0.0,0.4228,1,1,9,0,0,0,0,0,0,5,140.34,2.258
2016-07-01 05:00:00-05,1.0536666666666668,0.0,1.0536666666666668,1,1,10,0,0,0,0,0,0,5,127.44,2.285
2016-07-01 06:00:00-05,1.0322333333333331,0.00975,1.0184666666666669,1,1,11,0,0,0,0,0,0,4,114.71,2.302
2016-07-01 07:00:00-05,0.9846,0.1267833333333333,0.8578166666666666,1,1,12,0,0,0,0,0,0,4,102.3,2.32
2016-07-01 08:00:00-05,1.0842166666666668,0.22565,0.8585833333333331,1,1,13,0,0,0,0,0,0,4,90.4,2.339
2016-07-01 09:00:00-05,1.288166666666667,1.31875,-0.03055,1,1,14,53,0,53,57,453,141,4,79.28,2.343
2016-07-01 10:00:00-05,1.5975833333333331,2.1990833333333333,-0.6016,1,1,15,120,0,120,83,670,319,4,69.34,2.3280000000000003
2016-07-01 11:00:00-05,2.156816666666667,2.792616666666667,-0.63575,1,1,16,209,70,243,95,777,470,5,61.17,2.305
2016-07-01 12:00:00-05,0.5155333333333332,3.2200333333333333,-2.7044333333333332,1,1,17,237,360,441,99,833,570,6,55.57,2.285
2016-07-01 13:00:00-05,0.41885,3.0018333333333334,-2.5829833333333334,1,1,18,228,21,241,101,851,609,6,53.38,2.275
