localminute,use,gen,grid
2017-01-01 00:00:00-06,0.6017166666666666,0.0,0.6017166666666666
2017-01-01 01:00:00-06,0.5727833333333332,0.0,0.5727833333333332
2017-01-01 02:00:00-06,0.61705,0.0,0.61705
2017-01-01 03:00:00-06,0.5874666666666666,0.0,0.5874666666666666
2017-01-01 04:00:00-06,0.5763666666666666,0.0,0.5763666666666666
2017-01-01 05:00:00-06,0.6142333333333332,0.0,0.6142333333333332
2017-01-01 06:00:00-06,0.6227666666666666,0.0,0.6227666666666666
2017-01-01 07:00:00-06,0.6334,0.0,0.6237166666666666
2017-01-01 08:00:00-06,4.72475,0.20991666666666664,4.514866666666666
2017-01-01 09:00:00-06,0.7785,1.314633333333333,-0.5361166666666666
2017-01-01 10:00:00-06,0.7061666666666666,2.605033333333333,-1.8987333333333332
2017-01-01 11:00:00-06,0.7797666666666666,3.0114,-2.231583333333333
2017-01-01 12:00:00-06,0.7051,3.484433333333333,-2.779333333333333
2017-01-01 13:00:00-06,0.7597833333333331,3.551966666666667,-2.792216666666667
2017-01-01 14:00:00-06,0.7801166666666666,3.210733333333333,-2.430566666666667
2017-01-01 15:00:00-06,0.7365833333333331,2.4297666666666666,-1.6931333333333332
2017-01-01 16:00:00-06,1.0247666666666668,1.0893,-0.06443333333333333
2017-01-01 17:00:00-06,2.1218,0.0374,2.0702166666666666
2017-01-01 18:00:00-06,3.4203666666666668,0.0,3.4203666666666668
2017-01-01 19:00:00-06,3.3266,0.0,3.3266
2017-01-01 20:00:00-06,4.289916666666667,0.0,4.289916666666667
2017-01-01 21:00:00-06,1.9241333333333333,0.0,1.9241333333333333
2017-01-01 22:00:00-06,1.3470333333333333,0.0,1.3470333333333333
2017-01-01 23:00:00-06,1.15445,0.0,1.15445
2017-01-02 00:00:00-06,0.8425166666666666,0.0,0.8425166666666666
2017-01-02 01:00:00-06,0.42436666666666656,0.0,0.42436666666666656
2017-01-02 02:00:00-06,0.5219166666666666,0.0,0.5219166666666666
2017-01-02 03:00:00-06,0.40021666666666655,0.0,0.40021666666666655
2017-01-02 04:00:00-06,0.3580666666666666,0.0,0.3580666666666666
2017-01-02 05:00:00-06,0.3969,0.0,0.3969
2017-01-02 06:00:00-06,0.36025,0.0,0.36025
2017-01-02 07:00:00-06,0.44661666666666655,0.0,0.44661666666666655
2017-01-02 08:00:00-06,0.8138833333333331,0.5520666666666666,0.2594333333333333
2017-01-02 09:00:00-06,0.3531833333333333,1.99085,-1.6378
2017-01-02 10:00:00-06,0.3473666666666666,2.924916666666667,-2.57745
2017-01-02 11:00:00-06,0.3924166666666665,3.523566666666667,-3.131216666666667
2017-01-02 12:00:00-06,0.362,3.8765333333333327,-3.5145833333333334
2017-01-02 13:00:00-06,0.40986666666666655,3.77015,-3.3603
2017-01-02 14:00:00-06,0.6786166666666666,3.3877,-2.70905
2017-01-02 15:00:00-06,0.5571333333333331,2.6147,-2.05755
2017-01-02 16:00:00-06,0.5549833333333332,1.2809833333333331,-0.7259166666666665
2017-01-02 17:00:00-06,0.8199,0.06636666666666666,0.7379166666666666
2017-01-02 18:00:00-06,2.145183333333333,0.0,2.145183333333333
2017-01-02 19:00:00-06,1.5544,0.0,1.5544
2017-01-02 20:00:00-06,1.2923666666666669,0.0,1.2923666666666669
2017-01-02 21:00:00-06,1.20575,0.0,1.20575
2017-01-02 22:00:00-06,1.10375,0.0,1.10375
2017-01-02 23:00:00-06,0.6430833333333332,0.0,0.6430833333333332
2017-01-03 00:00:00-06,0.40711666666666657,0.0,0.40711666666666657
2017-01-03 01:00:00-06,0.3872333333333333,0.0,0.3872333333333333
2017-01-03 02:00:00-06,0.3685666666666666,0.0,0.3685666666666666
2017-01-03 03:00:00-06,0.3626,0.0,0.3626
2017-01-03 04:00:00-06,0.5039833333333332,0.0,0.5039833333333332
