localminute,use,gen,grid
2017-01-01 00:00:00-06,1.0466,0.0,1.0466
2017-01-01 01:00:00-06,0.9641166666666664,0.0,0.9641166666666664
2017-01-01 02:00:00-06,1.0289166666666667,0.0,1.0289166666666667
2017-01-01 03:00:00-06,1.0343666666666669,0.0,1.0343666666666669
2017-01-01 04:00:00-06,0.9430333333333332,0.0,0.9430333333333332
2017-01-01 05:00:00-06,1.1204166666666668,0.0,1.1204166666666668
2017-01-01 06:00:00-06,0.9524333333333332,0.0,0.9524333333333332
2017-01-01 07:00:00-06,0.6795166666666665,0.02778333333333333,0.64835
2017-01-01 08:00:00-06,0.8276166666666666,0.2888833333333333,0.5387333333333332
2017-01-01 09:00:00-06,0.7117833333333332,1.2934333333333332,-0.5815333333333332
2017-01-01 10:00:00-06,1.0670166666666667,2.4052333333333333,-1.3382833333333333
2017-01-01 11:00:00-06,2.021116666666667,2.933133333333333,-0.912
2017-01-01 12:00:00-06,1.8603,3.545716666666667,-1.6854166666666668
2017-01-01 13:00:00-06,1.3528166666666668,3.7489666666666666,-2.396183333333333
2017-01-01 14:00:00-06,1.7012833333333333,3.565383333333333,-1.8642
2017-01-01 15:00:00-06,5.402966666666666,2.930966666666667,2.47205
2017-01-01 16:00:00-06,3.833183333333333,1.55485,2.278316666666667
2017-01-01 17:00:00-06,2.8142666666666667,0.1439333333333333,2.6629666666666667
2017-01-01 18:00:00-06,2.29605,0.0,2.29605
2017-01-01 19:00:00-06,2.4059,0.0,2.4059
2017-01-01 20:00:00-06,2.43855,0.0,2.43855
2017-01-01 21:00:00-06,2.380233333333333,0.0,2.380233333333333
2017-01-01 22:00:00-06,1.9872,0.0,1.9872
2017-01-01 23:00:00-06,1.8819,0.0,1.8819
2017-01-02 00:00:00-06,1.123816666666667,0.0,1.123816666666667
2017-01-02 01:00:00-06,1.1322833333333333,0.0,1.1322833333333333
2017-01-02 02:00:00-06,0.7358,0.0,0.7358
2017-01-02 03:00:00-06,0.6960166666666666,0.0,0.6960166666666666
2017-01-02 04:00:00-06,0.6174333333333332,0.0,0.6174333333333332
2017-01-02 05:00:00-06,0.71285,0.0,0.71285
2017-01-02 06:00:00-06,0.9284333333333332,0.0,0.9284333333333332
2017-01-02 07:00:00-06,0.8905333333333331,0.05631666666666666,0.8300666666666666
2017-01-02 08:00:00-06,0.7648333333333331,0.94405,-0.17916666666666664
2017-01-02 09:00:00-06,0.9414833333333332,1.7842333333333331,-0.8428
2017-01-02 10:00:00-06,0.9549333333333332,2.6690666666666667,-1.7140333333333333
2017-01-02 11:00:00-06,1.9905833333333331,3.4574333333333334,-1.4668166666666669
2017-01-02 12:00:00-06,0.98295,3.9926666666666666,-3.009733333333333
2017-01-02 13:00:00-06,1.1341333333333332,4.026316666666666,-2.892233333333333
2017-01-02 14:00:00-06,1.1816166666666668,3.774183333333333,-2.5925833333333332
2017-01-02 15:00:00-06,1.17985,3.15245,-1.97265
2017-01-02 16:00:00-06,1.2037166666666668,1.8227666666666669,-0.61905
2017-01-02 17:00:00-06,1.2596666666666667,0.20296666666666666,1.0519666666666667
2017-01-02 18:00:00-06,1.3770833333333332,0.0,1.3770833333333332
2017-01-02 19:00:00-06,1.2831,0.0,1.2831
2017-01-02 20:00:00-06,1.51575,0.0,1.51575
2017-01-02 21:00:00-06,1.227,0.0,1.227
2017-01-02 22:00:00-06,4.130783333333333,0.0,4.130783333333333
2017-01-02 23:00:00-06,0.9877833333333332,0.0,0.9877833333333332
2017-01-03 00:00:00-06,0.95445,0.0,0.95445
2017-01-03 01:00:00-06,1.3691,0.0,1.3691
2017-01-03 02:00:00-06,1.7966166666666668,0.0,1.7966166666666668
2017-01-03 03:00:00-06,1.4452666666666667,0.0,1.4452666666666667
2017-01-03 04:00:00-06,1.3003833333333332,0.0,1.3003833333333332
2017-01-03 05:00:00-06,1.2427333333333332,0.0,1.2427333333333332
2017-01-03 06:00:00-06,1.5127666666666668,0.0,1.5127666666666668
2017-01-03 07:00:00-06,1.4993833333333333,0.08305,1.4126
2017-01-03 08:00:00-06,1.59385,0.9109,0.6829
