localminute,use,gen,grid,Month,Day,Hour,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Temperature,Solar Zenith Angle,Precipitable Water
2016-01-01 00:00:00-06,0.5072666666666666,0.0,0.5072666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,100.56,2.021
2016-01-01 01:00:00-06,0.49735,0.0,0.4973333333333332,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,112.9,2.049
2016-01-01 02:00:00-06,0.49365,0.0,0.4936333333333332,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,125.59,2.037
2016-01-01 03:00:00-06,0.58745,0.0,0.5874333333333333,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,138.48,2.021
2016-01-01 04:00:00-06,0.5390666666666666,0.0,0.5390333333333333,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,151.39,2.027
2016-01-01 05:00:00-06,0.5698833333333332,0.0,0.56985,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,163.89,2.059
2016-01-01 06:00:00-06,0.5108166666666666,0.0,0.5107833333333331,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,172.6,2.103
2016-01-01 07:00:00-06,0.7964333333333331,0.0,0.7954,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,165.58,2.154
2016-01-01 08:00:00-06,0.9108833333333332,0.1321833333333333,0.7787,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,153.23,2.212
2016-01-01 09:00:00-06,0.9033666666666667,0.3543666666666666,0.5489833333333332,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,140.34,2.258
2016-01-01 10:00:00-06,1.78805,0.45965,1.3283,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,127.44,2.285
2016-01-01 11:00:00-06,1.3101,0.9816166666666664,0.3284166666666666,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,114.71,2.302
2016-01-01 12:00:00-06,1.2516333333333332,0.6611833333333332,0.5904166666666666,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,102.3,2.32
2016-01-01 13:00:00-06,1.1663333333333332,0.5191833333333332,0.6472166666666666,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,90.4,2.339
2016-01-01 14:00:00-06,0.9687833333333332,0.42881666666666657,0.54,1.0,1.0,14.0,53.0,0.0,53.0,57.0,453.0,141.0,4.0,79.28,2.343
2016-01-01 15:00:00-06,1.1174,0.12795,0.9895333333333332,1.0,1.0,15.0,120.0,0.0,120.0,83.0,670.0,319.0,4.0,69.34,2.3280000000000003
2016-01-01 16:00:00-06,1.0834166666666667,0.036616666666666665,1.0468333333333333,1.0,1.0,16.0,209.0,70.0,243.0,95.0,777.0,470.0,5.0,61.17,2.305
2016-01-01 17:00:00-06,1.2962166666666668,0.0,1.2933666666666668,1.0,1.0,17.0,237.0,360.0,441.0,99.0,833.0,570.0,6.0,55.57,2.285
2016-01-01 18:00:00-06,1.3028,0.0,1.3025833333333332,1.0,1.0,18.0,228.0,21.0,241.0,101.0,851.0,609.0,6.0,53.38,2.275
2016-01-01 19:00:00-06,1.1997,0.0,1.1995166666666668,1.0,1.0,19.0,171.0,0.0,171.0,98.0,842.0,581.0,6.0,54.99,2.271
2016-01-01 20:00:00-06,1.53615,0.0005833333333333333,1.5349166666666667,1.0,1.0,20.0,199.0,31.0,214.0,92.0,800.0,491.0,6.0,60.12000000000001,2.266
2016-01-01 21:00:00-06,1.65635,0.00375,1.65215,1.0,1.0,21.0,20.0,0.0,20.0,80.0,713.0,348.0,6.0,67.95,2.261
2016-01-01 22:00:00-06,0.7650333333333331,0.0,0.76435,1.0,1.0,22.0,9.0,0.0,9.0,58.0,532.0,172.0,5.0,77.66,2.259
2016-01-01 23:00:00-06,0.6646166666666666,0.0,0.6645333333333332,1.0,1.0,23.0,0.0,0.0,0.0,12.0,87.0,14.0,4.0,88.63,2.265
2016-01-02 00:00:00-06,0.6333333333333332,0.0,0.6332333333333332,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100.43,2.273
2016-01-02 01:00:00-06,0.6186333333333331,0.0,0.6185333333333332,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,112.77,2.282
2016-01-02 02:00:00-06,0.63245,0.0,0.63235,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,125.46,2.294
2016-01-02 03:00:00-06,0.6255166666666666,0.0,0.62545,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,138.35,2.306
2016-01-02 04:00:00-06,0.65545,0.0,0.6552666666666666,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,151.26,2.311
2016-01-02 05:00:00-06,0.73875,0.0,0.7386666666666666,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,163.76,2.2960000000000003
2016-01-02 06:00:00-06,0.7127166666666666,0.0,0.71255,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,172.51,2.265
2016-01-02 07:00:00-06,0.6149,0.0,0.6141666666666666,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,165.63,2.238
2016-01-02 08:00:00-06,1.0475333333333332,0.033383333333333334,1.014133333333333,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,153.3,2.23
2016-01-02 09:00:00-06,1.0654,0.1016,0.9638333333333332,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,140.41,2.24
2016-01-02 10:00:00-06,1.1478,0.2491333333333333,0.89875,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,127.51,2.265
2016-01-02 11:00:00-06,1.13575,0.3025833333333333,0.8331333333333331,1.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,114.77,2.3040000000000003
2016-01-02 12:00:00-06,1.0196166666666668,0.2364666666666666,0.7831833333333331,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,102.36,2.35
2016-01-02 13:00:00-06,0.9253666666666664,0.2361833333333333,0.6891666666666666,1.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,90.44,2.39
2016-01-02 14:00:00-06,0.9023666666666667,0.4066333333333333,0.4957333333333332,1.0,2.0,14.0,11.0,0.0,11.0,52.0,488.0,143.0,4.0,79.31,2.418
2016-01-02 15:00:00-06,0.8397166666666666,0.21755,0.6221333333333332,1.0,2.0,15.0,25.0,0.0,25.0,75.0,702.0,322.0,5.0,69.35000000000001,2.436
2016-01-02 16:00:00-06,0.9271833333333332,0.07426666666666665,0.8528166666666666,1.0,2.0,16.0,208.0,65.0,239.0,87.0,796.0,472.0,5.0,61.15,2.449
2016-01-02 17:00:00-06,0.84065,0.0,0.8401166666666666,1.0,2.0,17.0,250.0,65.0,287.0,95.0,839.0,570.0,6.0,55.52,2.4530000000000003
2016-01-02 18:00:00-06,1.1433833333333332,0.0,1.14325,1.0,2.0,18.0,59.0,0.0,59.0,96.0,859.0,610.0,6.0,53.29,2.441
2016-01-02 19:00:00-06,1.2835333333333332,0.0,1.2831333333333332,1.0,2.0,19.0,122.0,0.0,122.0,92.0,855.0,584.0,7.0,54.88,2.4130000000000003
2016-01-02 20:00:00-06,1.2637833333333333,0.0,1.2635,1.0,2.0,20.0,158.0,0.0,158.0,84.0,823.0,496.0,8.0,59.99,2.396
2016-01-02 21:00:00-06,0.9594666666666664,0.0,0.9593333333333331,1.0,2.0,21.0,105.0,0.0,105.0,74.0,738.0,353.0,7.0,67.81,2.397
2016-01-02 22:00:00-06,0.41881666666666656,0.0,0.4188,1.0,2.0,22.0,52.0,0.0,52.0,53.0,570.0,176.0,6.0,77.52,2.3930000000000002
2016-01-02 23:00:00-06,0.516,0.0,0.516,1.0,2.0,23.0,4.0,0.0,4.0,12.0,127.0,16.0,5.0,88.49,2.375
2016-01-03 00:00:00-06,0.5072333333333332,0.0,0.5072333333333332,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,100.29,2.356
2016-01-03 01:00:00-06,0.5177666666666666,0.0,0.5177333333333332,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,112.64,2.346
2016-01-03 02:00:00-06,0.58235,0.0,0.58235,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,125.33,2.336
2016-01-03 03:00:00-06,0.5288,0.0,0.5287833333333332,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,138.22,2.322
2016-01-03 04:00:00-06,0.5636833333333332,0.0,0.56365,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,151.12,2.301
2016-01-03 05:00:00-06,0.52455,0.0,0.5245333333333332,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,163.62,2.277
2016-01-03 06:00:00-06,0.5168166666666666,0.0,0.5168,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,172.4,2.254
2016-01-03 07:00:00-06,0.8802,0.0051,0.8737666666666666,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,165.67000000000004,2.225
2016-01-03 08:00:00-06,0.7119,0.33235,0.3795333333333333,1.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,153.37,2.177
2016-01-03 09:00:00-06,0.9059833333333333,0.7415833333333332,0.1644,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,140.48,2.092
2016-01-03 10:00:00-06,0.8742166666666666,1.2574,-0.3832,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,127.57,1.967
2016-01-03 11:00:00-06,0.6475,1.2603,-0.6127833333333332,1.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,114.83,1.82
2016-01-03 12:00:00-06,0.8437666666666666,1.914216666666667,-1.0704166666666668,1.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,102.41,1.679
