localminute,use,gen,grid
2017-01-01 00:00:00-06,0.3135833333333333,0.0,0.3135833333333333
2017-01-01 01:00:00-06,0.21371666666666664,0.0,0.21371666666666664
2017-01-01 02:00:00-06,0.2850166666666666,0.0,0.2850166666666666
2017-01-01 03:00:00-06,0.23031666666666664,0.0,0.23031666666666664
2017-01-01 04:00:00-06,0.23935,0.0,0.23935
2017-01-01 05:00:00-06,0.2671833333333333,0.0,0.2671833333333333
2017-01-01 06:00:00-06,0.21443333333333328,0.0,0.21443333333333328
2017-01-01 07:00:00-06,0.2521833333333333,0.02316666666666666,0.22446666666666665
2017-01-01 08:00:00-06,0.2550333333333333,0.2667833333333333,-0.01173333333333333
2017-01-01 09:00:00-06,0.21053333333333327,1.2866,-1.0760666666666667
2017-01-01 10:00:00-06,0.24955,2.4042,-2.15465
2017-01-01 11:00:00-06,0.1875,2.8526166666666666,-2.665166666666667
2017-01-01 12:00:00-06,0.2708666666666666,3.3977,-3.1268
2017-01-01 13:00:00-06,0.2674166666666666,3.5969333333333333,-3.3295
2017-01-01 14:00:00-06,0.19956666666666664,3.34895,-3.1494
2017-01-01 15:00:00-06,0.23665,2.5597833333333333,-2.323183333333333
2017-01-01 16:00:00-06,0.2329166666666666,1.0763,-0.8433666666666666
2017-01-01 17:00:00-06,0.18091666666666661,0.1753833333333333,-0.002483333333333333
2017-01-01 18:00:00-06,0.23305,0.0,0.23305
2017-01-01 19:00:00-06,0.20628333333333326,0.0,0.20628333333333326
2017-01-01 20:00:00-06,0.1761833333333333,0.0,0.1761833333333333
2017-01-01 21:00:00-06,0.30135,0.0,0.30135
2017-01-01 22:00:00-06,0.43561666666666654,0.0,0.43561666666666654
2017-01-01 23:00:00-06,0.4377,0.0,0.4377
2017-01-02 00:00:00-06,0.48815,0.0,0.48815
2017-01-02 01:00:00-06,0.498,0.0,0.498
2017-01-02 02:00:00-06,0.45245,0.0,0.45245
2017-01-02 03:00:00-06,0.6247666666666666,0.0,0.6247666666666666
2017-01-02 04:00:00-06,0.5342333333333332,0.0,0.5342333333333332
2017-01-02 05:00:00-06,0.5154666666666666,0.0,0.5154666666666666
2017-01-02 06:00:00-06,0.3883833333333333,0.0,0.3883833333333333
2017-01-02 07:00:00-06,0.2997666666666666,0.03333333333333333,0.2608666666666666
2017-01-02 08:00:00-06,0.3382333333333333,0.6163666666666666,-0.2782166666666666
2017-01-02 09:00:00-06,0.3209833333333333,1.90045,-1.5794666666666668
2017-01-02 10:00:00-06,0.30355,2.63555,-2.331983333333333
2017-01-02 11:00:00-06,0.3577,3.25725,-2.8996166666666667
2017-01-02 12:00:00-06,0.3498833333333333,3.7214,-3.3715333333333333
2017-01-02 13:00:00-06,0.3060166666666666,3.7900666666666663,-3.484
2017-01-02 14:00:00-06,0.3465166666666666,3.524316666666667,-3.177716666666667
2017-01-02 15:00:00-06,0.3551833333333333,2.7838833333333333,-2.428666666666667
2017-01-02 16:00:00-06,0.3514833333333333,1.2156833333333332,-0.86415
2017-01-02 17:00:00-06,0.20138333333333328,0.2629,-0.06721666666666666
2017-01-02 18:00:00-06,0.21908333333333327,0.0,0.21908333333333327
2017-01-02 19:00:00-06,0.19931666666666664,0.0,0.19931666666666664
2017-01-02 20:00:00-06,0.18516666666666665,0.0,0.18516666666666665
2017-01-02 21:00:00-06,0.24915,0.0,0.24915
2017-01-02 22:00:00-06,0.17406666666666665,0.0,0.17406666666666665
2017-01-02 23:00:00-06,0.21203333333333327,0.0,0.21203333333333327
2017-01-03 00:00:00-06,0.2309,0.0,0.2309
2017-01-03 01:00:00-06,0.18196666666666664,0.0,0.18196666666666664
2017-01-03 02:00:00-06,0.19771666666666665,0.0,0.19771666666666665
2017-01-03 03:00:00-06,0.2279,0.0,0.2279
2017-01-03 04:00:00-06,0.3445833333333333,0.0,0.3445833333333333
2017-01-03 05:00:00-06,0.4506166666666666,0.0,0.4506166666666666
2017-01-03 06:00:00-06,0.4140833333333333,0.0,0.4140833333333333
2017-01-03 07:00:00-06,0.3511166666666666,0.05363333333333332,0.2927333333333333
2017-01-03 08:00:00-06,0.40131666666666654,0.6278333333333332,-0.22651666666666664
2017-01-03 09:00:00-06,0.3438166666666666,1.9075833333333332,-1.5637666666666667
2017-01-03 10:00:00-06,0.39631666666666654,2.45495,-2.058616666666667
2017-01-03 11:00:00-06,0.38821666666666654,3.152233333333333,-2.763933333333333
2017-01-03 12:00:00-06,0.20121666666666665,3.554883333333333,-3.353766666666667
2017-01-03 13:00:00-06,0.2295833333333333,3.4159,-3.1864166666666667
2017-01-03 14:00:00-06,0.2517833333333333,3.3197,-3.0679333333333334
2017-01-03 15:00:00-06,0.21338333333333329,2.6685166666666666,-2.45505
2017-01-03 16:00:00-06,0.19265,1.1736666666666669,-0.9809666666666664
2017-01-03 17:00:00-06,0.2320166666666666,0.2419,-0.015983333333333332
2017-01-03 18:00:00-06,0.21915,0.0,0.21915
2017-01-03 19:00:00-06,0.2286,0.0,0.2286
2017-01-03 20:00:00-06,0.21848333333333328,0.0,0.21848333333333328
2017-01-03 21:00:00-06,0.2493166666666666,0.0,0.2493166666666666
2017-01-03 22:00:00-06,0.18966666666666665,0.0,0.18966666666666665
2017-01-03 23:00:00-06,0.20016666666666666,0.0,0.20016666666666666
2017-01-04 00:00:00-06,0.22915,0.0,0.22915
2017-01-04 01:00:00-06,0.17825,0.0,0.17825
2017-01-04 02:00:00-06,0.2033,0.0,0.2033
2017-01-04 03:00:00-06,0.22035,0.0,0.22035
2017-01-04 04:00:00-06,0.1613833333333333,0.0,0.1613833333333333
2017-01-04 05:00:00-06,0.2453666666666666,0.0,0.2453666666666666
2017-01-04 06:00:00-06,0.23705,0.0,0.23705
2017-01-04 07:00:00-06,0.24805,0.00785,0.2348
2017-01-04 08:00:00-06,0.2551333333333333,0.37806666666666655,-0.1229
2017-01-04 09:00:00-06,0.37465,0.9265833333333332,-0.5519
2017-01-04 10:00:00-06,0.3066833333333333,1.33005,-1.0233333333333332
2017-01-04 11:00:00-06,0.2448833333333333,1.0034666666666665,-0.7586
2017-01-04 12:00:00-06,0.2781833333333333,0.8337833333333331,-0.5555166666666665
2017-01-04 13:00:00-06,0.2416,1.2643,-1.0226166666666667
2017-01-04 14:00:00-06,0.3492333333333333,2.16245,-1.81315
2017-01-04 15:00:00-06,0.36218333333333325,2.198666666666667,-1.8364
2017-01-04 16:00:00-06,0.38666666666666655,0.8977166666666666,-0.5111
2017-01-04 17:00:00-06,0.3995166666666666,0.03255,0.3557333333333333
2017-01-04 18:00:00-06,0.3892,0.0,0.3892
2017-01-04 19:00:00-06,0.4625166666666666,0.0,0.4625166666666666
2017-01-04 20:00:00-06,0.44271666666666654,0.0,0.44271666666666654
2017-01-04 21:00:00-06,0.40581666666666655,0.0,0.40581666666666655
2017-01-04 22:00:00-06,0.3124833333333333,0.0,0.3124833333333333
2017-01-04 23:00:00-06,0.2502166666666666,0.0,0.2502166666666666
2017-01-05 00:00:00-06,0.3006666666666666,0.0,0.3006666666666666
2017-01-05 01:00:00-06,0.3204,0.0,0.3204
2017-01-05 02:00:00-06,0.26835,0.0,0.26835
2017-01-05 03:00:00-06,0.2433666666666666,0.0,0.2433666666666666
2017-01-05 04:00:00-06,0.3122166666666666,0.0,0.3122166666666666
2017-01-05 05:00:00-06,0.24495,0.0,0.24495
2017-01-05 06:00:00-06,0.2742333333333333,0.0,0.2742333333333333
2017-01-05 07:00:00-06,0.26415,0.022716666666666663,0.2356166666666666
2017-01-05 08:00:00-06,0.2433,0.3848333333333333,-0.14155
2017-01-05 09:00:00-06,0.2588333333333333,0.33005,-0.07121666666666666
2017-01-05 10:00:00-06,0.21615,0.65235,-0.43621666666666653
2017-01-05 11:00:00-06,0.27345,1.9126833333333333,-1.63925
2017-01-05 12:00:00-06,0.18841666666666665,1.4159333333333333,-1.2274166666666668
2017-01-05 13:00:00-06,0.21903333333333327,2.010183333333333,-1.7910833333333331
2017-01-05 14:00:00-06,0.23095,1.4181166666666667,-1.1871666666666667
2017-01-05 15:00:00-06,0.2404666666666666,1.4368833333333333,-1.19635
2017-01-05 16:00:00-06,0.28425,0.5167,-0.23245
2017-01-05 17:00:00-06,0.25935,0.06261666666666667,0.1842
2017-01-05 18:00:00-06,0.3509333333333333,0.0,0.3509333333333333
2017-01-05 19:00:00-06,0.3202666666666666,0.0,0.3202666666666666
2017-01-05 20:00:00-06,0.4040333333333333,0.0,0.4040333333333333
2017-01-05 21:00:00-06,0.3012666666666666,0.0,0.3012666666666666
2017-01-05 22:00:00-06,0.3258333333333333,0.0,0.3258333333333333
2017-01-05 23:00:00-06,0.2720333333333333,0.0,0.2720333333333333
2017-01-06 00:00:00-06,0.2964,0.0,0.2964
2017-01-06 01:00:00-06,0.32745,0.0,0.32745
2017-01-06 02:00:00-06,0.26915,0.0,0.26915
2017-01-06 03:00:00-06,0.35045,0.0,0.35045
2017-01-06 04:00:00-06,0.2958833333333333,0.0,0.2958833333333333
2017-01-06 05:00:00-06,0.4320333333333333,0.0,0.4320333333333333
2017-01-06 06:00:00-06,0.3983833333333333,0.0,0.3983833333333333
2017-01-06 07:00:00-06,0.42186666666666656,0.0,0.4207833333333333
2017-01-06 08:00:00-06,0.4031333333333333,0.1294833333333333,0.2736666666666666
2017-01-06 09:00:00-06,0.40041666666666653,0.3312833333333333,0.06908333333333333
2017-01-06 10:00:00-06,0.37325,0.3979,-0.02456666666666666
2017-01-06 11:00:00-06,0.5115833333333332,0.7084666666666666,-0.19681666666666664
2017-01-06 12:00:00-06,0.4850666666666666,0.8013833333333331,-0.3164
2017-01-06 13:00:00-06,0.5428666666666666,1.0728833333333332,-0.5300166666666666
2017-01-06 14:00:00-06,0.5199333333333332,0.79435,-0.2744
2017-01-06 15:00:00-06,0.50085,0.3772,0.1237
2017-01-06 16:00:00-06,0.5647,0.2505333333333333,0.3142333333333333
2017-01-06 17:00:00-06,0.5148,0.1388833333333333,0.36946666666666655
2017-01-06 18:00:00-06,0.557,0.0,0.557
2017-01-06 19:00:00-06,0.4294,0.0,0.4294
2017-01-06 20:00:00-06,0.5550333333333332,0.0,0.5550333333333332
2017-01-06 21:00:00-06,0.47585,0.0,0.47585
2017-01-06 22:00:00-06,0.42535,0.0,0.42535
2017-01-06 23:00:00-06,0.4312333333333333,0.0,0.4312333333333333
2017-01-07 00:00:00-06,0.50585,0.0,0.50585
2017-01-07 01:00:00-06,0.4111833333333333,0.0,0.4111833333333333
2017-01-07 02:00:00-06,0.4848166666666666,0.0,0.4848166666666666
2017-01-07 03:00:00-06,0.4681833333333332,0.0,0.4681833333333332
2017-01-07 04:00:00-06,0.4633333333333332,0.0,0.4633333333333332
2017-01-07 05:00:00-06,0.5088166666666666,0.0,0.5088166666666666
2017-01-07 06:00:00-06,0.4219,0.0,0.4219
2017-01-07 07:00:00-06,0.50655,0.042783333333333326,0.4593
2017-01-07 08:00:00-06,0.4623833333333332,0.6824333333333332,-0.22006666666666666
2017-01-07 09:00:00-06,0.4637833333333332,2.1353666666666666,-1.6715833333333332
2017-01-07 10:00:00-06,0.4101333333333333,2.9676666666666667,-2.55745
2017-01-07 11:00:00-06,0.2757166666666666,3.6548166666666666,-3.379083333333333
2017-01-07 12:00:00-06,0.29185,4.0924,-3.8006166666666665
2017-01-07 13:00:00-06,0.2724333333333333,4.245866666666666,-3.973433333333333
2017-01-07 14:00:00-06,0.2138,3.9502666666666664,-3.7364666666666664
2017-01-07 15:00:00-06,0.3027166666666666,3.193983333333333,-2.8913
2017-01-07 16:00:00-06,0.22258333333333327,1.4318666666666668,-1.20935
2017-01-07 17:00:00-06,0.3024166666666666,0.35355,-0.056216666666666665
2017-01-07 18:00:00-06,0.2936666666666666,0.0,0.2936666666666666
2017-01-07 19:00:00-06,0.3479666666666666,0.0,0.3479666666666666
2017-01-07 20:00:00-06,0.3576833333333333,0.0,0.3576833333333333
2017-01-07 21:00:00-06,0.3407166666666666,0.0,0.3407166666666666
2017-01-07 22:00:00-06,0.43311666666666654,0.0,0.43311666666666654
2017-01-07 23:00:00-06,0.3631166666666666,0.0,0.3631166666666666
2017-01-08 00:00:00-06,0.4321833333333333,0.0,0.4321833333333333
2017-01-08 01:00:00-06,0.4114833333333333,0.0,0.4114833333333333
2017-01-08 02:00:00-06,0.5182,0.0,0.5182
2017-01-08 03:00:00-06,0.4617666666666666,0.0,0.4617666666666666
2017-01-08 04:00:00-06,0.4088333333333333,0.0,0.4088333333333333
2017-01-08 05:00:00-06,0.44566666666666654,0.0,0.44566666666666654
2017-01-08 06:00:00-06,0.4305333333333333,0.0,0.4305333333333333
2017-01-08 07:00:00-06,0.43015,0.04151666666666666,0.3841333333333333
2017-01-08 08:00:00-06,0.44216666666666654,0.6606833333333332,-0.2185
2017-01-08 09:00:00-06,0.4318333333333333,2.049716666666667,-1.6178666666666668
2017-01-08 10:00:00-06,0.2890833333333333,2.930083333333333,-2.6409166666666666
2017-01-08 11:00:00-06,0.33705,3.62015,-3.283116666666667
2017-01-08 12:00:00-06,0.32845,4.060466666666667,-3.7320166666666665
2017-01-08 13:00:00-06,0.3962333333333333,4.20325,-3.807
2017-01-08 14:00:00-06,0.4032833333333333,3.8508,-3.447566666666667
2017-01-08 15:00:00-06,0.3493166666666666,3.061533333333333,-2.712216666666667
2017-01-08 16:00:00-06,0.43871666666666653,1.3154,-0.8767333333333331
2017-01-08 17:00:00-06,0.3760833333333333,0.28355,0.08716666666666666
2017-01-08 18:00:00-06,0.42465,0.0,0.42465
2017-01-08 19:00:00-06,0.4183333333333333,0.0,0.4183333333333333
2017-01-08 20:00:00-06,0.2585166666666666,0.0,0.2585166666666666
2017-01-08 21:00:00-06,0.2647166666666666,0.0,0.2647166666666666
2017-01-08 22:00:00-06,0.29185,0.0,0.29185
2017-01-08 23:00:00-06,0.36108333333333326,0.0,0.36108333333333326
2017-01-09 00:00:00-06,0.2629166666666666,0.0,0.2629166666666666
2017-01-09 01:00:00-06,0.3222666666666666,0.0,0.3222666666666666
2017-01-09 02:00:00-06,0.3443,0.0,0.3443
2017-01-09 03:00:00-06,0.2987833333333333,0.0,0.2987833333333333
2017-01-09 04:00:00-06,0.29525,0.0,0.29525
2017-01-09 05:00:00-06,0.36785,0.0,0.36785
2017-01-09 06:00:00-06,0.3215,0.0,0.3215
2017-01-09 07:00:00-06,0.2796666666666666,0.00685,0.2673166666666666
2017-01-09 08:00:00-06,0.2993833333333333,0.2685,0.03093333333333333
2017-01-09 09:00:00-06,0.4026,1.0268833333333331,-0.6242166666666666
2017-01-09 10:00:00-06,0.3438166666666666,2.468716666666667,-2.1249
2017-01-09 11:00:00-06,0.21891666666666665,2.7028333333333334,-2.483983333333333
2017-01-09 12:00:00-06,0.23225,2.284733333333333,-2.052483333333333
2017-01-09 13:00:00-06,0.1801833333333333,1.669533333333333,-1.4893
2017-01-09 14:00:00-06,0.2488333333333333,2.644566666666667,-2.3958666666666666
2017-01-09 15:00:00-06,0.17901666666666666,2.7904,-2.6114
2017-01-09 16:00:00-06,0.2295,1.2536333333333332,-1.0242
2017-01-09 17:00:00-06,0.67275,0.2998833333333333,0.36803333333333327
2017-01-09 18:00:00-06,0.6889333333333332,0.0,0.6889333333333332
2017-01-09 19:00:00-06,0.57935,0.0,0.57935
2017-01-09 20:00:00-06,0.4687833333333332,0.0,0.4687833333333332
2017-01-09 21:00:00-06,0.3957,0.0,0.3957
2017-01-09 22:00:00-06,0.5639833333333332,0.0,0.5639833333333332
2017-01-09 23:00:00-06,0.4140666666666665,0.0,0.4140666666666665
2017-01-10 00:00:00-06,0.36,0.0,0.36
2017-01-10 01:00:00-06,0.3975166666666666,0.0,0.3975166666666666
2017-01-10 02:00:00-06,0.3767333333333333,0.0,0.3767333333333333
2017-01-10 03:00:00-06,0.43961666666666654,0.0,0.43961666666666654
2017-01-10 04:00:00-06,0.4522833333333333,0.0,0.4522833333333333
2017-01-10 05:00:00-06,0.50345,0.0,0.50345
2017-01-10 06:00:00-06,0.5286,0.0,0.5286
2017-01-10 07:00:00-06,0.6651166666666666,0.006266666666666666,0.6495
2017-01-10 08:00:00-06,0.6209333333333332,0.3285833333333333,0.29245
2017-01-10 09:00:00-06,0.4591666666666666,1.7245833333333331,-1.2654
2017-01-10 10:00:00-06,0.43761666666666654,2.138066666666667,-1.700516666666667
2017-01-10 11:00:00-06,0.3039166666666666,3.208683333333333,-2.9046833333333333
2017-01-10 12:00:00-06,0.37825,3.547633333333333,-3.169316666666667
2017-01-10 13:00:00-06,0.2415833333333333,3.8591166666666665,-3.6175666666666664
2017-01-10 14:00:00-06,0.31815,3.513383333333333,-3.195183333333333
2017-01-10 15:00:00-06,0.2521166666666666,2.790033333333333,-2.5379666666666667
2017-01-10 16:00:00-06,0.2543,1.26765,-1.0134333333333332
2017-01-10 17:00:00-06,0.2561333333333333,0.2634166666666666,-0.010583333333333332
2017-01-10 18:00:00-06,1.2167333333333332,0.0,1.2167333333333332
2017-01-10 19:00:00-06,0.6603166666666666,0.0,0.6603166666666666
2017-01-10 20:00:00-06,0.5097333333333331,0.0,0.5097333333333331
2017-01-10 21:00:00-06,0.5164333333333332,0.0,0.5164333333333332
2017-01-10 22:00:00-06,0.4420333333333333,0.0,0.4420333333333333
2017-01-10 23:00:00-06,0.26875,0.0,0.26875
2017-01-11 00:00:00-06,0.2774666666666666,0.0,0.2774666666666666
2017-01-11 01:00:00-06,0.3136,0.0,0.3136
2017-01-11 02:00:00-06,0.3078666666666666,0.0,0.3078666666666666
2017-01-11 03:00:00-06,0.4014833333333333,0.0,0.4014833333333333
2017-01-11 04:00:00-06,0.39776666666666655,0.0,0.39776666666666655
2017-01-11 05:00:00-06,0.5215333333333332,0.0,0.5215333333333332
2017-01-11 06:00:00-06,0.4845333333333332,0.0,0.4845333333333332
2017-01-11 07:00:00-06,0.749533333333333,0.0,0.7473833333333331
2017-01-11 08:00:00-06,0.6249,0.10705,0.5179
2017-01-11 09:00:00-06,0.59315,0.39111666666666656,0.20211666666666664
2017-01-11 10:00:00-06,0.6908833333333332,1.1239333333333332,-0.4331
2017-01-11 11:00:00-06,0.40375,1.7418,-1.3381333333333332
2017-01-11 12:00:00-06,0.3638,1.6367166666666668,-1.2729166666666667
2017-01-11 13:00:00-06,0.2457833333333333,2.2869,-2.041116666666667
2017-01-11 14:00:00-06,0.2717166666666666,2.8749833333333332,-2.6033166666666667
2017-01-11 15:00:00-06,0.2536833333333333,2.76385,-2.5102
2017-01-11 16:00:00-06,0.2472333333333333,1.211833333333333,-0.9647166666666664
2017-01-11 17:00:00-06,1.0779666666666667,0.2431833333333333,0.83025
2017-01-11 18:00:00-06,1.434,0.0,1.434
2017-01-11 19:00:00-06,0.6416666666666666,0.0,0.6416666666666666
2017-01-11 20:00:00-06,0.6483333333333332,0.0,0.6483333333333332
2017-01-11 21:00:00-06,0.5,0.0,0.5
2017-01-11 22:00:00-06,0.3467166666666666,0.0,0.3467166666666666
2017-01-11 23:00:00-06,0.28145,0.0,0.28145
2017-01-12 00:00:00-06,0.19701666666666665,0.0,0.19701666666666665
2017-01-12 01:00:00-06,0.227,0.0,0.227
2017-01-12 02:00:00-06,0.22795,0.0,0.22795
2017-01-12 03:00:00-06,0.2589666666666666,0.0,0.2589666666666666
2017-01-12 04:00:00-06,0.17651666666666666,0.0,0.17651666666666666
2017-01-12 05:00:00-06,0.36625,0.0,0.36625
2017-01-12 06:00:00-06,0.5251166666666666,0.0,0.5251166666666666
2017-01-12 07:00:00-06,0.5234333333333332,0.028266666666666662,0.48975
2017-01-12 08:00:00-06,0.2502,0.4354333333333333,-0.18526666666666666
2017-01-12 09:00:00-06,0.2701166666666666,0.6712,-0.4011833333333333
2017-01-12 10:00:00-06,0.18753333333333327,1.0268166666666667,-0.8393333333333332
2017-01-12 11:00:00-06,0.34475,1.7243666666666668,-1.3795666666666668
2017-01-12 12:00:00-06,0.2935333333333333,1.4965666666666668,-1.2031333333333332
2017-01-12 13:00:00-06,0.20028333333333329,1.8770666666666669,-1.6767333333333332
2017-01-12 14:00:00-06,0.2806666666666666,1.2232833333333333,-0.94265
2017-01-12 15:00:00-06,0.2382,1.4790166666666669,-1.2408
2017-01-12 16:00:00-06,0.2334166666666666,0.6328166666666666,-0.3994666666666665
2017-01-12 17:00:00-06,0.2958,0.14926666666666666,0.14125
2017-01-12 18:00:00-06,0.8488333333333331,0.0,0.8488333333333331
2017-01-12 19:00:00-06,1.3952166666666668,0.0,1.3952166666666668
2017-01-12 20:00:00-06,0.6478666666666666,0.0,0.6478666666666666
2017-01-12 21:00:00-06,0.6747666666666666,0.0,0.6747666666666666
2017-01-12 22:00:00-06,0.5018833333333332,0.0,0.5018833333333332
2017-01-12 23:00:00-06,0.4461333333333333,0.0,0.4461333333333333
2017-01-13 00:00:00-06,0.4294333333333333,0.0,0.4294333333333333
2017-01-13 01:00:00-06,0.43506666666666655,0.0,0.43506666666666655
2017-01-13 02:00:00-06,0.3243333333333333,0.0,0.3243333333333333
2017-01-13 03:00:00-06,0.1696333333333333,0.0,0.1696333333333333
