localminute,use,gen,grid,Month,Day,Hour,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Temperature,Solar Zenith Angle,Precipitable Water
2016-01-01 00:00:00-06,0.6531,0.0,0.6531,1,1,0,0,0,0,0,0,0,7,100.56,2.021
2016-01-01 01:00:00-06,0.51475,0.0,0.51475,1,1,1,0,0,0,0,0,0,6,112.9,2.049
2016-01-01 02:00:00-06,0.415,0.0,0.415,1,1,2,0,0,0,0,0,0,6,125.59,2.037
2016-01-01 03:00:00-06,0.4469,0.0,0.4469,1,1,3,0,0,0,0,0,0,6,138.48,2.021
2016-01-01 04:00:00-06,0.4870333333333332,0.0,0.4870333333333332,1,1,4,0,0,0,0,0,0,6,151.39,2.027
2016-01-01 05:00:00-06,0.41371666666666657,0.0,0.41371666666666657,1,1,5,0,0,0,0,0,0,6,163.89,2.059
2016-01-01 06:00:00-06,0.4532166666666666,0.0,0.4532166666666666,1,1,6,0,0,0,0,0,0,6,172.6,2.103
2016-01-01 07:00:00-06,0.5145,0.0,0.5145,1,1,7,0,0,0,0,0,0,6,165.58,2.154
2016-01-01 08:00:00-06,0.473,0.19318333333333326,0.2777166666666666,1,1,8,0,0,0,0,0,0,5,153.23,2.212
2016-01-01 09:00:00-06,0.6259333333333332,0.6422833333333332,-0.016516666666666666,1,1,9,0,0,0,0,0,0,5,140.34,2.258
2016-01-01 10:00:00-06,0.75525,0.8366333333333331,-0.08143333333333333,1,1,10,0,0,0,0,0,0,5,127.44,2.285
2016-01-01 11:00:00-06,0.9464,1.8210833333333332,-0.87465,1,1,11,0,0,0,0,0,0,4,114.71,2.302
2016-01-01 12:00:00-06,0.8369,1.2284333333333333,-0.3914333333333333,1,1,12,0,0,0,0,0,0,4,102.3,2.32
2016-01-01 13:00:00-06,0.91125,0.9598666666666664,-0.048716666666666665,1,1,13,0,0,0,0,0,0,4,90.4,2.339
2016-01-01 14:00:00-06,2.8453666666666666,0.7871166666666666,2.05835,1,1,14,53,0,53,57,453,141,4,79.28,2.343
2016-01-01 15:00:00-06,0.3147333333333333,0.2011,0.11345,1,1,15,120,0,120,83,670,319,4,69.34,2.3280000000000003
2016-01-01 16:00:00-06,0.7658,0.0057333333333333325,0.7531333333333331,1,1,16,209,70,243,95,777,470,5,61.17,2.305
2016-01-01 17:00:00-06,1.7000666666666668,0.0,1.7000666666666668,1,1,17,237,360,441,99,833,570,6,55.57,2.285
2016-01-01 18:00:00-06,0.96715,0.0,0.96715,1,1,18,228,21,241,101,851,609,6,53.38,2.275
2016-01-01 19:00:00-06,1.0519166666666668,0.0,1.0519166666666668,1,1,19,171,0,171,98,842,581,6,54.99,2.271
2016-01-01 20:00:00-06,1.2492166666666669,0.0,1.2492166666666669,1,1,20,199,31,214,92,800,491,6,60.12000000000001,2.266
2016-01-01 21:00:00-06,1.1937,0.0,1.1937,1,1,21,20,0,20,80,713,348,6,67.95,2.261
2016-01-01 22:00:00-06,0.9149833333333331,0.0,0.9149833333333331,1,1,22,9,0,9,58,532,172,5,77.66,2.259
2016-01-01 23:00:00-06,0.8914833333333331,0.0,0.8914833333333331,1,1,23,0,0,0,12,87,14,4,88.63,2.265
2016-01-02 00:00:00-06,0.5745666666666666,0.0,0.5745666666666666,1,2,0,0,0,0,0,0,0,4,100.43,2.273
2016-01-02 01:00:00-06,0.5244666666666666,0.0,0.5244666666666666,1,2,1,0,0,0,0,0,0,4,112.77,2.282
2016-01-02 02:00:00-06,0.4554833333333333,0.0,0.4554833333333333,1,2,2,0,0,0,0,0,0,4,125.46,2.294
2016-01-02 03:00:00-06,0.5052666666666666,0.0,0.5052666666666666,1,2,3,0,0,0,0,0,0,4,138.35,2.306
2016-01-02 04:00:00-06,0.5482833333333332,0.0,0.5482833333333332,1,2,4,0,0,0,0,0,0,4,151.26,2.311
2016-01-02 05:00:00-06,0.6499166666666666,0.0,0.6499166666666666,1,2,5,0,0,0,0,0,0,4,163.76,2.2960000000000003
2016-01-02 06:00:00-06,0.4665,0.0,0.4665,1,2,6,0,0,0,0,0,0,4,172.51,2.265
2016-01-02 07:00:00-06,0.2476166666666666,0.0,0.2476166666666666,1,2,7,0,0,0,0,0,0,4,165.63,2.238
2016-01-02 08:00:00-06,0.22736666666666666,0.01515,0.20088333333333327,1,2,8,0,0,0,0,0,0,4,153.3,2.23
2016-01-02 09:00:00-06,0.5361833333333332,0.1506833333333333,0.38561666666666655,1,2,9,0,0,0,0,0,0,4,140.41,2.24
2016-01-02 10:00:00-06,0.6822,0.44221666666666654,0.2399666666666666,1,2,10,0,0,0,0,0,0,4,127.51,2.265
2016-01-02 11:00:00-06,1.1690833333333333,0.5444833333333332,0.6246666666666666,1,2,11,0,0,0,0,0,0,4,114.77,2.3040000000000003
2016-01-02 12:00:00-06,1.2780833333333332,0.4161,0.8620166666666667,1,2,12,0,0,0,0,0,0,4,102.36,2.35
2016-01-02 13:00:00-06,0.5161166666666666,0.41536666666666655,0.10071666666666663,1,2,13,0,0,0,0,0,0,4,90.44,2.39
2016-01-02 14:00:00-06,0.6430833333333332,0.7442666666666666,-0.10113333333333333,1,2,14,11,0,11,52,488,143,4,79.31,2.418
2016-01-02 15:00:00-06,0.7243,0.3816,0.3427333333333333,1,2,15,25,0,25,75,702,322,5,69.35000000000001,2.436
2016-01-02 16:00:00-06,0.5472333333333332,0.08266666666666665,0.4600666666666666,1,2,16,208,65,239,87,796,472,5,61.15,2.449
2016-01-02 17:00:00-06,1.4864666666666668,0.0,1.4864666666666668,1,2,17,250,65,287,95,839,570,6,55.52,2.4530000000000003
2016-01-02 18:00:00-06,0.9358833333333332,0.0,0.9358833333333332,1,2,18,59,0,59,96,859,610,6,53.29,2.441
2016-01-02 19:00:00-06,0.6754833333333332,0.0,0.6754833333333332,1,2,19,122,0,122,92,855,584,7,54.88,2.4130000000000003
2016-01-02 20:00:00-06,0.9643333333333332,0.0,0.9643333333333332,1,2,20,158,0,158,84,823,496,8,59.99,2.396
2016-01-02 21:00:00-06,0.9027,0.0,0.9027,1,2,21,105,0,105,74,738,353,7,67.81,2.397
2016-01-02 22:00:00-06,0.8487,0.0,0.8487,1,2,22,52,0,52,53,570,176,6,77.52,2.3930000000000002
2016-01-02 23:00:00-06,0.9559666666666664,0.0,0.9559666666666664,1,2,23,4,0,4,12,127,16,5,88.49,2.375
2016-01-03 00:00:00-06,0.7018833333333332,0.0,0.7018833333333332,1,3,0,0,0,0,0,0,0,5,100.29,2.356
2016-01-03 01:00:00-06,0.4619666666666666,0.0,0.4619666666666666,1,3,1,0,0,0,0,0,0,5,112.64,2.346
2016-01-03 02:00:00-06,0.5082166666666666,0.0,0.5082166666666666,1,3,2,0,0,0,0,0,0,4,125.33,2.336
2016-01-03 03:00:00-06,0.40811666666666657,0.0,0.40811666666666657,1,3,3,0,0,0,0,0,0,4,138.22,2.322
2016-01-03 04:00:00-06,0.4289833333333333,0.0,0.4289833333333333,1,3,4,0,0,0,0,0,0,4,151.12,2.301
2016-01-03 05:00:00-06,0.5184333333333332,0.0,0.5184333333333332,1,3,5,0,0,0,0,0,0,4,163.62,2.277
2016-01-03 06:00:00-06,0.4238833333333333,0.0,0.4238833333333333,1,3,6,0,0,0,0,0,0,4,172.4,2.254
2016-01-03 07:00:00-06,0.45475,0.0,0.45475,1,3,7,0,0,0,0,0,0,4,165.67000000000004,2.225
2016-01-03 08:00:00-06,0.68585,0.7312,-0.0464,1,3,8,0,0,0,0,0,0,4,153.37,2.177
2016-01-03 09:00:00-06,0.4390333333333333,1.351616666666667,-0.9125666666666666,1,3,9,0,0,0,0,0,0,4,140.48,2.092
