dataid,totalAmountOfPv,baseValue,baseValueBattery,costOfSystem,costOfSystemWithBattery
9001,6.325,0.038815959,0.06699854,8222.5,14192.5
9052,6,0.038472101,0.067918056,7800,13770
9121,6.125,0.040440277,0.070760961,7962.5,13932.5
9134,4.995,0.036169648,0.069423332,6493.5,12463.5
9142,4,0.059210943,0.08838104,6800,10150
9160,4.5,0.039183221,0.0791702,5850,11820
9235,5.145,0.041689304,0.078900211,6688.5,12658.5
9647,6.3,0.034039876,0.058852825,8190,14160
9729,6.37,0.038942411,0.067017063,8281,14251
9776,6,0.035536499,0.062735588,7800,13770
9932,5.2,0.042410377,0.079864511,6760,12730
9937,8.625,0.053756434,0.082378588,11212.5,17182.5
9971,6.125,0.038086024,0.066641574,7962.5,13932.5
9982,3.675,0.049003366,0.075279681,6247.5,9597.5
