localminute,use,gen,grid,Month,Day,Hour,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Temperature,Solar Zenith Angle,Precipitable Water
2016-01-01 00:00:00-06,1.3499333333333332,0.0,1.3499333333333332,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,100.56,2.021
2016-01-01 01:00:00-06,0.19053333333333328,0.0,0.19053333333333328,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,112.9,2.049
2016-01-01 02:00:00-06,0.18776666666666664,0.0,0.18776666666666664,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,125.59,2.037
2016-01-01 03:00:00-06,0.19713333333333327,0.0,0.19713333333333327,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,138.48,2.021
2016-01-01 04:00:00-06,0.2702833333333333,0.0,0.2702833333333333,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,151.39,2.027
2016-01-01 05:00:00-06,0.5282833333333332,0.0,0.5282833333333332,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,163.89,2.059
2016-01-01 06:00:00-06,0.34365,0.0,0.34365,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,172.6,2.103
2016-01-01 07:00:00-06,0.4107833333333333,0.0,0.4088333333333333,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,165.58,2.154
2016-01-01 08:00:00-06,0.14765,0.267,-0.1193,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,153.23,2.212
2016-01-01 09:00:00-06,0.8732333333333331,0.7093666666666666,0.1638,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,140.34,2.258
2016-01-01 10:00:00-06,0.5974166666666666,0.8993666666666666,-0.3019833333333333,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,127.44,2.285
2016-01-01 11:00:00-06,3.268933333333333,1.9965833333333332,1.2724333333333333,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,114.71,2.302
2016-01-01 12:00:00-06,2.7369166666666667,1.2997166666666669,1.4372166666666668,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,102.3,2.32
2016-01-01 13:00:00-06,0.7867833333333331,1.0213166666666669,-0.23455,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,90.4,2.339
2016-01-01 14:00:00-06,2.231266666666667,0.8476166666666666,1.3836666666666668,1.0,1.0,14.0,53.0,0.0,53.0,57.0,453.0,141.0,4.0,79.28,2.343
2016-01-01 15:00:00-06,0.1720833333333333,0.2622666666666666,-0.09015,1.0,1.0,15.0,120.0,0.0,120.0,83.0,670.0,319.0,4.0,69.34,2.3280000000000003
2016-01-01 16:00:00-06,0.3476,0.0816,0.266,1.0,1.0,16.0,209.0,70.0,243.0,95.0,777.0,470.0,5.0,61.17,2.305
2016-01-01 17:00:00-06,1.4460166666666667,0.0,1.4383,1.0,1.0,17.0,237.0,360.0,441.0,99.0,833.0,570.0,6.0,55.57,2.285
2016-01-01 18:00:00-06,0.89615,0.0,0.89615,1.0,1.0,18.0,228.0,21.0,241.0,101.0,851.0,609.0,6.0,53.38,2.275
2016-01-01 19:00:00-06,2.7732666666666668,0.0,2.7732666666666668,1.0,1.0,19.0,171.0,0.0,171.0,98.0,842.0,581.0,6.0,54.99,2.271
2016-01-01 20:00:00-06,1.3069333333333333,0.0,1.3069333333333333,1.0,1.0,20.0,199.0,31.0,214.0,92.0,800.0,491.0,6.0,60.12000000000001,2.266
2016-01-01 21:00:00-06,2.621233333333333,0.0,2.621233333333333,1.0,1.0,21.0,20.0,0.0,20.0,80.0,713.0,348.0,6.0,67.95,2.261
2016-01-01 22:00:00-06,0.8409833333333331,0.0,0.8409833333333331,1.0,1.0,22.0,9.0,0.0,9.0,58.0,532.0,172.0,5.0,77.66,2.259
2016-01-01 23:00:00-06,0.6633833333333332,0.0,0.6633833333333332,1.0,1.0,23.0,0.0,0.0,0.0,12.0,87.0,14.0,4.0,88.63,2.265
2016-01-02 00:00:00-06,0.4457,0.0,0.4457,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100.43,2.273
2016-01-02 01:00:00-06,0.4005333333333333,0.0,0.4005333333333333,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,112.77,2.282
2016-01-02 02:00:00-06,7.060466666666667,0.0,7.060466666666667,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,125.46,2.294
2016-01-02 03:00:00-06,5.990716666666667,0.0,5.990716666666667,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,138.35,2.306
2016-01-02 04:00:00-06,1.1611333333333331,0.0,1.1611333333333331,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,151.26,2.311
2016-01-02 05:00:00-06,0.3637166666666666,0.0,0.3637166666666666,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,163.76,2.2960000000000003
2016-01-02 06:00:00-06,0.2131,0.0,0.2131,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,172.51,2.265
2016-01-02 07:00:00-06,0.1586833333333333,0.0,0.15735,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,165.63,2.238
2016-01-02 08:00:00-06,0.7509833333333331,0.07286666666666665,0.67825,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,153.3,2.23
2016-01-02 09:00:00-06,0.5803666666666666,0.21056666666666665,0.3696833333333333,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,140.41,2.24
2016-01-02 10:00:00-06,0.7603833333333331,0.4996166666666666,0.2606833333333333,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,127.51,2.265
2016-01-02 11:00:00-06,0.8162666666666666,0.59775,0.21851666666666664,1.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,114.77,2.3040000000000003
