localminute,use,gen,grid,Month,Day,Hour,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Temperature,Solar Zenith Angle,Precipitable Water
2016-01-01 00:00:00-06,0.2931666666666666,0.0,0.2931666666666666,1,1,0,0,0,0,0,0,0,7,100.56,2.021
2016-01-01 01:00:00-06,1.2938833333333333,0.0,1.2938833333333333,1,1,1,0,0,0,0,0,0,6,112.9,2.049
2016-01-01 02:00:00-06,1.1587333333333332,0.0,1.1587333333333332,1,1,2,0,0,0,0,0,0,6,125.59,2.037
2016-01-01 03:00:00-06,0.4617166666666666,0.0,0.4617166666666666,1,1,3,0,0,0,0,0,0,6,138.48,2.021
2016-01-01 04:00:00-06,1.11625,0.0,1.11625,1,1,4,0,0,0,0,0,0,6,151.39,2.027
2016-01-01 05:00:00-06,0.4609833333333333,0.0,0.4609833333333333,1,1,5,0,0,0,0,0,0,6,163.89,2.059
2016-01-01 06:00:00-06,1.1483166666666669,0.0,1.1483166666666669,1,1,6,0,0,0,0,0,0,6,172.6,2.103
2016-01-01 07:00:00-06,1.8429666666666669,0.0,1.83935,1,1,7,0,0,0,0,0,0,6,165.58,2.154
2016-01-01 08:00:00-06,1.5112,0.2859666666666666,1.2250833333333333,1,1,8,0,0,0,0,0,0,5,153.23,2.212
2016-01-01 09:00:00-06,1.3423,0.4831166666666666,0.8591,1,1,9,0,0,0,0,0,0,5,140.34,2.258
2016-01-01 10:00:00-06,0.8830333333333331,0.8904,-0.007266666666666665,1,1,10,0,0,0,0,0,0,5,127.44,2.285
2016-01-01 11:00:00-06,1.4963333333333333,1.9674333333333331,-0.4710166666666666,1,1,11,0,0,0,0,0,0,4,114.71,2.302
2016-01-01 12:00:00-06,1.40725,1.2787333333333333,0.1285,1,1,12,0,0,0,0,0,0,4,102.3,2.32
2016-01-01 13:00:00-06,4.81975,0.9490333333333332,3.87075,1,1,13,0,0,0,0,0,0,4,90.4,2.339
2016-01-01 14:00:00-06,4.887633333333333,0.8087166666666666,4.07885,1,1,14,53,0,53,57,453,141,4,79.28,2.343
2016-01-01 15:00:00-06,3.11305,0.2643166666666666,2.8487666666666667,1,1,15,120,0,120,83,670,319,4,69.34,2.3280000000000003
2016-01-01 16:00:00-06,2.547083333333333,0.08405,2.463033333333333,1,1,16,209,70,243,95,777,470,5,61.17,2.305
2016-01-01 17:00:00-06,3.1749666666666667,0.0,3.1694666666666667,1,1,17,237,360,441,99,833,570,6,55.57,2.285
2016-01-01 18:00:00-06,1.9290333333333332,0.0,1.9290333333333332,1,1,18,228,21,241,101,851,609,6,53.38,2.275
2016-01-01 19:00:00-06,1.7185,0.0,1.7185,1,1,19,171,0,171,98,842,581,6,54.99,2.271
